video_id,image_path,airflow_rate,material,delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,overall_std_deltaT,temp_max_overall_initial,temp_std_avg_initial,material_brick_cladding,material_gypsum
temp_2025-3-7-17-26-11_21.4_30_8.6_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-26-11_21.4_30_8.6_.npy,1.8,gypsum,2.26176309847379,5.389071729816501,0.0026618128743248,0.4212908713346087,24.4036922454834,0.3582146568649696,0,1
temp_2025-3-7-17-19-46_21.4_32.5_11.1_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-19-46_21.4_32.5_11.1_.npy,1.8,gypsum,2.493205452602695,5.3230099791384085,0.0055450916640028,0.4478808676834694,24.6596603393555,0.3504426353081278,0,1
temp_2025-3-7-17-37-1_21.4_27.5_6.1_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-37-1_21.4_27.5_6.1_.npy,1.8,gypsum,1.9600947840472696,4.2626798770413155,0.0075749041205382,0.3030155579533431,24.2011489868164,0.265317035559727,0,1
temp_2025-2-27-18-43-42_21.7_30_8.3_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-43-42_21.7_30_8.3_.npy,2.4,gypsum,2.2300144001592104,4.77912349311153,0.0058439753040121,0.6997136143396724,26.3538379669189,0.634027999478478,0,1
temp_2025-2-27-18-55-1_21.7_27.5_5.8_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-55-1_21.7_27.5_5.8_.npy,2.4,gypsum,1.916922612182061,4.709530201312334,0.0061318484975242,0.5919957957827351,25.9163799285889,0.5544930568851012,0,1
temp_2025-2-27-18-36-28_21.7_32.5_10.8_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-36-28_21.7_32.5_10.8_.npy,2.4,gypsum,2.468099531471619,3.58351893845611,0.0115527408895169,0.5162126019250155,26.6839809417725,0.4388982842088936,0,1
temp_2025-3-7-19-14-21_21.4_35_13.6_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-14-21_21.4_35_13.6_.npy,1.6,gypsum,2.681021528714291,5.241747015059643,0.0022565328336092,0.4040751556208355,24.1335315704346,0.30496494120663,0,1
temp_2025-3-7-19-26-18_21.4_30_8.6_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-26-18_21.4_30_8.6_.npy,1.6,gypsum,2.26176309847379,4.941642422609304,0.0034073896533161,0.3787971791402306,24.2822170257568,0.3189887419776092,0,1
temp_2025-3-7-19-19-42_21.4_32.5_11.1_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-19-42_21.4_32.5_11.1_.npy,1.6,gypsum,2.493205452602695,5.332718793265369,0.0022866508679827,0.4124773919822365,24.3362293243408,0.3308886050477262,0,1
temp_2025-3-7-19-36-44_21.4_27.5_6.1_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-36-44_21.4_27.5_6.1_.npy,1.6,gypsum,1.9600947840472696,5.424950017481403,0.0027802265569048,0.3418539859178077,24.0523414611816,0.2924020195180569,0,1
temp_2025-3-7-19-45-8_21.4_26_4.6_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-45-8_21.4_26_4.6_.npy,1.6,gypsum,1.7227665977411035,5.2574953720277815,0.0036375055586748,0.3210295051940078,23.8761940002441,0.2845867769445477,0,1
temp_2025-3-7-18-6-40_21.4_35_13.6_,dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-6-40_21.4_35_13.6_.npy,2.1,gypsum,2.681021528714291,5.4510384535657,0.0024413388892536,0.5147883544495943,24.6192932128906,0.4124450576438988,0,1
temp_2025-3-7-18-53-23_21.4_26_4.6_,dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-53-23_21.4_26_4.6_.npy,2.1,gypsum,1.7227665977411035,5.247024072160486,0.0042458708945719,0.3649875112326645,24.1605892181396,0.3328150688902866,0,1
temp_2025-3-7-18-12-0_21.4_32.5_11.1_,dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-12-0_21.4_32.5_11.1_.npy,2.1,gypsum,2.493205452602695,3.737669618283368,0.0051058016268311,0.320370086446447,24.7403545379639,0.2711744675863911,0,1
temp_2025-3-7-18-34-6_21.4_30_8.6_,dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-34-6_21.4_30_8.6_.npy,2.1,gypsum,2.26176309847379,5.0369526024136295,0.0033766772661636,0.4641361744669456,24.7269115447998,0.4106897987105703,0,1
T3.0V_2025-07-28-16-03-14_20_30_10_,dataset_gypsum2/FanPower_3.0V/T3.0V_2025-07-28-16-03-14_20_30_10_.npy,3.0,gypsum,2.3978952727983707,3.258096538021482,0.0076754442850751,0.2372887659174169,23.86263084411621,0.1992759962650273,0,1
T3.0V_2025-07-28-16-17-19_20_26_6_,dataset_gypsum2/FanPower_3.0V/T3.0V_2025-07-28-16-17-19_20_26_6_.npy,3.0,gypsum,1.9459101490553132,5.181783550292085,0.0048966219196208,0.2916062447189794,23.740476608276367,0.2638203840778649,0,1
T2.0V_2025-07-17-18-13-32_22_30_8_,dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-13-32_22_30_8_.npy,2.0,gypsum,2.1972245773362196,5.313205979041787,0.0011004222796695,0.4935841915779377,27.275537490844727,0.4853800166135211,0,1
