video_id,mat_filepath,mask_paths,delta_T,airflow_rate,material
temp_2025-3-10-19-0-58_21.4_26_4.6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_brickcladding/FanPower_2.4V/temp_2025-3-10-19-0-58_21.4_26_4.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_brickcladding/FanPower_2.4V/temp_2025-3-10-19-0-58_21.4_26_4.6_/temp_2025-3-10-19-0-58_21.4_26_4.6__sam_mask.npy'],4.6,2.4,brick_cladding
temp_2025-3-10-18-52-46_21.4_27.5_6.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_brickcladding/FanPower_2.4V/temp_2025-3-10-18-52-46_21.4_27.5_6.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_brickcladding/FanPower_2.4V/temp_2025-3-10-18-52-46_21.4_27.5_6.1_/temp_2025-3-10-18-52-46_21.4_27.5_6.1__sam_mask.npy'],6.1,2.4,brick_cladding
T1.4V_2025-07-17-16-56-31_22_34_12_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.4V/T1.4V_2025-07-17-16-56-31_22_34_12_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.4V/T1.4V_2025-07-17-16-56-31_22_34_12_/T1.4V_2025-07-17-16-56-31_22_34_12__mask_0.npy'],12.0,1.4,gypsum
T1.8V_2025-07-25-16-47-16_20_30_10_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.8V/T1.8V_2025-07-25-16-47-16_20_30_10_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.8V/T1.8V_2025-07-25-16-47-16_20_30_10_/T1.8V_2025-07-25-16-47-16_20_30_10__mask_0.npy'],10.0,1.8,gypsum
T1.6V_2025-07-28-18-04-15_20_26_6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-18-04-15_20_26_6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-18-04-15_20_26_6_/T1.6V_2025-07-28-18-04-15_20_26_6__mask_0.npy'],6.0,1.6,gypsum
T2.4V_2025-07-17-19-34-26_22_26_4_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.4V/T2.4V_2025-07-17-19-34-26_22_26_4_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.4V/T2.4V_2025-07-17-19-34-26_22_26_4_/T2.4V_2025-07-17-19-34-26_22_26_4__mask_0.npy'],4.0,2.4,gypsum
T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_two_holes_brickcladding/FanPower_2.0V/T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14_.mat,"['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_two_holes_brickcladding/FanPower_2.0V/T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14_/T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14__mask_0.npy', '/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_two_holes_brickcladding/FanPower_2.0V/T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14_/T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14__mask_1.npy']",14.0,2.0,brick_cladding
temp_2025-3-10-19-37-32_21.4_27.5_6.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_brickcladding/FanPower_2.1V/temp_2025-3-10-19-37-32_21.4_27.5_6.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_brickcladding/FanPower_2.1V/temp_2025-3-10-19-37-32_21.4_27.5_6.1_/temp_2025-3-10-19-37-32_21.4_27.5_6.1__sam_mask.npy'],6.1,2.1,brick_cladding
T3.0V_2025-07-28-15-54-48_20_34_14_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_3.0V/T3.0V_2025-07-28-15-54-48_20_34_14_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_3.0V/T3.0V_2025-07-28-15-54-48_20_34_14_/T3.0V_2025-07-28-15-54-48_20_34_14__mask_0.npy'],14.0,3.0,gypsum
temp_2025-3-7-17-26-11_21.4_30_8.6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-26-11_21.4_30_8.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-26-11_21.4_30_8.6_/temp_2025-3-7-17-26-11_21.4_30_8.6__sam_mask.npy'],8.6,1.8,gypsum
temp_2025-3-7-18-12-0_21.4_32.5_11.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-12-0_21.4_32.5_11.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-12-0_21.4_32.5_11.1_/temp_2025-3-7-18-12-0_21.4_32.5_11.1__sam_mask.npy'],11.1,2.1,gypsum
temp_2025-3-7-17-45-42_21.4_26_4.6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-45-42_21.4_26_4.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-45-42_21.4_26_4.6_/temp_2025-3-7-17-45-42_21.4_26_4.6__sam_mask.npy'],4.6,1.8,gypsum
temp_2025-3-7-18-6-40_21.4_35_13.6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-6-40_21.4_35_13.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-6-40_21.4_35_13.6_/temp_2025-3-7-18-6-40_21.4_35_13.6__sam_mask.npy'],13.6,2.1,gypsum
T2.0V_6.3Pa_2025-6-16-17-16-39_20_34_14_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_two_holes_brickcladding/FanPower_2.0V/T2.0V_6.3Pa_2025-6-16-17-16-39_20_34_14_.mat,"['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_two_holes_brickcladding/FanPower_2.0V/T2.0V_6.3Pa_2025-6-16-17-16-39_20_34_14_/T2.0V_6.3Pa_2025-6-16-17-16-39_20_34_14__mask_0.npy', '/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_two_holes_brickcladding/FanPower_2.0V/T2.0V_6.3Pa_2025-6-16-17-16-39_20_34_14_/T2.0V_6.3Pa_2025-6-16-17-16-39_20_34_14__mask_1.npy']",14.0,2.0,brick_cladding
T1.6V_2025-07-28-17-46-40_20_30_10_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-17-46-40_20_30_10_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-17-46-40_20_30_10_/T1.6V_2025-07-28-17-46-40_20_30_10__mask_0.npy'],10.0,1.6,gypsum
temp_2025-3-11-20-7-28_21.4_32.5_11.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_brickcladding/FanPower_1.6V/temp_2025-3-11-20-7-28_21.4_32.5_11.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_brickcladding/FanPower_1.6V/temp_2025-3-11-20-7-28_21.4_32.5_11.1_/temp_2025-3-11-20-7-28_21.4_32.5_11.1__sam_mask.npy'],11.1,1.6,brick_cladding
